Timestep,Date/Time,Unit,H1,H6,H7,H8,H11,H12,Average_RH,Stdev_RH
1,6/14/2021 11:19,%RH,80.903,NA,60.962,NA,NA,NA,70.9325,14.10041632
2,6/14/2021 11:39,%RH,53.298,NA,60.371,NA,NA,NA,56.8345,5.001366263
3,6/14/2021 11:59,%RH,58.142,92.649,67.956,NA,74.83,74.09,73.5334,12.60356818
4,6/14/2021 12:19,%RH,52.685,67.083,66.804,71.899,51.244,49.001,59.786,9.88867526
5,6/14/2021 12:39,%RH,49.601,68.816,69.674,54.662,67.41,63.09,62.2088,8.284010005
6,6/14/2021 12:59,%RH,64.644,67.083,79.722,75.313,66.247,68.951,70.3267,5.907385569
7,6/14/2021 13:19,%RH,66.385,65.921,71.945,73.612,78.176,79.1,72.5232,5.621295061
8,6/14/2021 13:39,%RH,57.542,62.988,70.812,69.013,74.268,70.679,67.5503,6.142883449
9,6/14/2021 13:59,%RH,49.601,61.805,63.9,61.942,63.905,63.09,60.7072,5.516796296
10,6/14/2021 14:19,%RH,51.456,68.816,70.812,70.749,65.664,65.454,65.4918,7.266742721
11,6/14/2021 14:39,%RH,62.889,67.662,69.102,80.338,70.292,68.951,69.8723,5.741098942
12,6/14/2021 14:59,%RH,51.456,53.349,60.962,66.679,59.753,64.275,59.4123,5.983890763
13,6/14/2021 15:19,%RH,47.732,61.805,70.812,52.19,57.953,59.496,58.3313,7.992431762
14,6/14/2021 15:39,%RH,50.221,63.578,73.072,58.934,68.567,69.529,63.9835,8.359786618
15,6/14/2021 15:59,%RH,60.527,73.368,81.354,63.729,71.435,72.392,70.4675,7.426835955
16,6/14/2021 16:19,%RH,63.475,77.271,84.58,73.612,79.28,77.998,76.036,7.107075883
17,6/14/2021 16:39,%RH,73.213,76.718,84.046,80.338,82.015,83.444,79.9623,4.224502369
18,6/14/2021 16:59,%RH,73.772,83.789,87.758,80.889,81.471,83.98,81.9432,4.679107839
19,6/14/2021 17:19,%RH,80.903,84.854,88.283,84.706,87.91,87.161,85.6362,2.770596428
20,6/14/2021 17:39,%RH,84.107,85.913,87.758,88.982,90.012,89.25,87.6703,2.25798447
21,6/14/2021 17:59,%RH,79.823,82.718,84.58,85.783,87.91,87.686,84.75,3.101807151
22,6/14/2021 18:19,%RH,79.28,86.966,88.806,83.622,86.851,87.686,85.5352,3.518251066
23,6/14/2021 18:39,%RH,85.163,87.491,89.328,86.855,89.488,88.73,87.8425,1.672152236
24,6/14/2021 18:59,%RH,82.512,86.441,91.403,83.622,85.786,87.161,86.1542,3.113166582
25,6/14/2021 19:19,%RH,84.636,83.789,88.806,87.389,87.91,87.161,86.6152,1.963538379
