Timestep,Date/Time,Unit,H1_temp,H6_10min_ahead,H7_11min_ahead,H8_3min_ahead,H11_3min_behind,H12_2min_behind,T1_5min_behind,T2_8min_ahead,T3_8min_ahead,T11_5min_ahead,T12_2min_behind,T13_8min_behind,T14_9min_ahead,T15_6min_behind,T17_7min_ahead,AverageTemp,Stdev
1,6/14/2021 11:19,C,,,,,,,,,,,29.168,,,33.108,,31.138,1.608498264
2,6/14/2021 11:39,C,35.649,,34.676,,,,,32.09,,,32.663,,,33.108,,33.637,1.207572689
3,6/14/2021 11:59,C,35.649,,33.18,,,,,33.588,,,33.162,,,33.108,,33.737,0.88642157
4,6/14/2021 12:19,C,38.14,,34.177,32.102,44.085,50.065,34.602,34.088,27.632,31.102,35.158,35.161,25.615,34.604,30.633,34.797,5.806208639
5,6/14/2021 12:39,C,38.638,34.1,34.676,36.597,35.117,36.116,35.101,34.587,38.119,34.597,34.659,33.663,35.108,34.105,35.123,35.354,1.343634831
6,6/14/2021 12:59,C,35.15,31.603,31.682,30.104,33.62,34.12,33.105,30.591,30.131,30.103,33.661,31.666,31.113,31.61,31.132,31.959,1.494384689
7,6/14/2021 13:19,C,32.158,30.104,30.185,32.102,30.126,30.624,30.608,29.592,29.631,31.102,30.167,34.662,30.613,31.61,30.134,30.895,1.228756072
8,6/14/2021 13:39,C,33.655,34.1,33.18,33.601,33.62,32.622,34.103,35.086,34.626,35.096,32.663,34.662,35.607,34.105,36.119,34.190,0.953836115
9,6/14/2021 13:59,C,38.14,34.6,34.676,35.099,35.616,35.118,35.6,33.588,33.128,35.096,34.659,35.66,34.109,35.602,34.624,35.021,1.067650107
10,6/14/2021 14:19,C,37.642,33.101,33.679,33.601,34.618,35.617,34.602,32.09,31.629,32.101,35.656,33.663,33.61,34.105,32.13,33.856,1.516072371
11,6/14/2021 14:39,C,35.15,32.602,32.182,31.103,35.117,34.619,36.099,31.091,30.63,30.603,34.659,34.662,32.611,35.103,31.631,33.191,1.805869327
12,6/14/2021 14:59,C,38.638,33.601,32.182,34.6,35.616,35.118,35.101,33.588,32.628,34.597,35.158,34.662,33.61,34.105,34.624,34.522,1.393377725
13,6/14/2021 15:19,C,39.135,34.6,32.182,35.598,35.616,35.118,36.598,35.586,35.125,36.094,34.16,36.159,35.108,36.101,35.621,35.520,1.361551067
14,6/14/2021 15:39,C,38.638,35.099,31.183,35.598,35.616,34.619,35.101,35.586,34.626,36.094,33.661,34.662,36.107,33.607,35.621,35.055,1.49584758
15,6/14/2021 15:59,C,36.646,34.6,30.185,33.601,32.123,33.62,33.105,35.086,35.125,34.597,34.659,31.666,35.607,31.111,36.119,33.857,1.77372009
16,6/14/2021 16:19,C,34.153,31.103,29.186,33.101,30.126,31.123,32.106,31.591,31.13,33.1,31.665,31.666,32.112,31.111,32.629,31.727,1.153796733
17,6/14/2021 16:39,C,31.659,30.604,29.186,30.604,29.627,30.124,31.108,30.092,29.631,30.603,30.167,31.167,31.113,30.112,31.132,30.462,0.649840891
18,6/14/2021 16:59,C,31.159,30.604,29.186,30.604,29.627,29.625,30.109,30.092,30.131,30.603,29.667,30.168,31.113,29.613,31.132,30.229,0.583081991
19,6/14/2021 17:19,C,29.661,29.604,29.186,28.605,28.628,29.125,28.61,29.592,29.131,29.104,28.668,28.169,30.114,28.614,29.634,29.096,0.508087058
20,6/14/2021 17:39,C,28.162,28.105,27.687,27.605,28.128,28.125,28.111,27.593,27.632,28.105,28.169,28.669,28.115,28.114,28.136,28.030,0.268638651
21,6/14/2021 17:59,C,29.162,28.605,28.186,28.605,28.128,28.625,28.61,28.093,28.132,28.605,28.668,28.169,29.114,28.114,29.135,28.530,0.361467403
22,6/14/2021 18:19,C,28.162,28.105,27.687,28.105,27.628,28.125,27.611,28.093,27.632,28.605,27.669,27.669,28.115,27.615,28.635,27.964,0.328420361
23,6/14/2021 18:39,C,28.162,27.605,27.187,27.605,27.628,27.625,28.111,27.093,27.132,27.605,27.669,28.169,27.615,27.615,28.136,27.664,0.333569933
24,6/14/2021 18:59,C,28.162,27.605,27.187,27.605,27.628,27.625,27.611,27.593,27.132,27.605,27.669,27.669,28.115,27.615,28.136,27.664,0.274807023
25,6/14/2021 19:19,C,27.662,27.105,27.187,27.105,27.129,27.125,27.111,27.093,27.132,27.105,27.169,27.17,27.615,27.115,27.636,27.231,0.198857612
26,6/14/2021 19:39,C,26.662,27.105,26.687,26.605,26.629,26.625,26.611,26.594,26.633,27.105,26.67,26.17,27.115,26.615,27.136,26.731,0.251261368
27,6/14/2021 19:59,C,26.162,26.105,26.187,26.605,26.129,26.125,25.611,26.094,26.133,26.105,26.17,25.67,26.615,25.615,26.637,26.131,0.303369384
28,6/14/2021 20:19,C,25.162,25.605,25.688,25.105,25.629,25.625,25.111,25.094,25.133,25.105,25.67,24.67,25.615,25.115,25.637,25.331,0.298437696
29,6/14/2021 20:39,C,24.161,25.105,25.188,24.105,24.629,24.624,24.111,24.594,24.633,24.605,24.67,23.67,24.615,24.615,24.637,24.531,0.360554469
30,6/14/2021 20:59,C,23.159,23.605,24.187,23.105,24.129,24.124,23.111,23.594,23.633,23.605,23.67,23.169,23.615,23.615,23.636,23.597,0.332704048
31,6/14/2021 21:19,C,22.658,23.105,23.187,22.105,23.128,23.123,22.611,23.093,22.632,22.604,23.17,22.169,22.615,23.115,23.136,22.830,0.34586422
32,6/14/2021 21:39,C,22.158,22.105,22.687,22.105,23.128,23.123,22.11,22.593,22.132,22.104,22.669,22.169,22.114,23.115,22.635,22.463,0.384274132
33,6/14/2021 21:59,C,22.158,22.105,22.687,21.604,22.628,22.623,21.61,22.093,21.632,22.104,22.669,21.669,22.114,22.614,22.135,22.163,0.380877277
34,6/14/2021 22:19,C,21.657,21.604,22.186,21.104,22.128,22.122,21.109,22.093,21.632,21.604,22.169,21.168,21.614,22.114,22.135,21.763,0.378610585
35,6/14/2021 22:39,C,21.155,21.604,22.186,21.104,22.128,22.122,21.109,21.593,21.132,21.103,22.169,21.168,21.114,22.114,21.634,21.562,0.435641433
36,6/14/2021 22:59,C,21.155,21.104,21.686,20.604,21.627,21.622,20.609,21.093,20.631,21.103,21.669,21.168,21.114,21.614,21.134,21.196,0.358887146
37,6/14/2021 23:19,C,20.654,21.104,21.686,20.604,21.627,21.622,20.609,21.093,20.631,21.103,21.168,21.168,20.614,21.614,21.134,21.095,0.379978256
38,6/14/2021 23:39,C,20.654,21.104,21.686,20.604,21.627,21.622,20.609,21.093,20.631,20.603,21.168,21.168,20.614,21.614,21.134,21.062,0.398110297
39,6/14/2021 23:59,C,20.654,21.104,21.686,20.604,21.627,21.622,20.609,21.093,20.631,20.603,21.168,20.668,20.614,21.614,21.134,21.029,0.407988123
40,6/15/2021 0:19,C,20.654,20.604,21.185,20.604,21.627,21.622,20.609,21.093,20.631,20.603,21.168,20.668,20.614,21.614,21.134,20.962,0.38435189
41,6/15/2021 0:39,C,20.654,20.604,21.185,20.604,21.627,21.622,20.609,20.592,20.631,20.603,21.168,20.668,20.614,21.614,20.633,20.895,0.394895904
42,6/15/2021 0:59,C,20.654,20.604,21.185,20.604,21.627,21.622,20.609,20.592,20.631,20.603,21.168,20.668,20.614,21.614,20.633,20.895,0.394895904
43,6/15/2021 1:19,C,20.153,20.604,21.185,20.104,21.127,21.121,20.108,20.592,20.631,20.102,21.168,20.167,20.614,21.113,20.633,20.628,0.40241643
44,6/15/2021 1:39,C,20.153,20.604,21.185,20.104,21.127,21.121,20.108,20.592,20.131,20.102,20.668,20.668,20.113,21.113,20.633,20.561,0.398099527
45,6/15/2021 1:59,C,20.153,20.604,21.185,20.104,21.127,21.121,20.108,20.592,20.131,20.102,20.668,20.167,20.614,21.113,20.633,20.561,0.393829257
46,6/15/2021 2:19,C,20.153,20.104,20.685,20.104,21.127,21.121,19.608,20.092,20.131,20.102,20.668,19.667,20.113,20.613,20.132,20.295,0.425101262
47,6/15/2021 2:39,C,19.652,20.104,20.685,19.603,20.626,20.62,19.608,20.092,20.131,19.601,20.167,19.667,20.113,20.613,20.132,20.094,0.377902677
48,6/15/2021 2:59,C,19.652,19.603,20.685,19.603,20.626,20.62,19.107,19.592,19.631,19.601,20.167,19.166,19.613,20.613,19.631,19.861,0.502184934
49,6/15/2021 3:19,C,19.15,19.603,20.184,19.103,20.126,20.12,19.107,19.592,19.13,19.101,20.167,19.166,19.112,20.112,19.631,19.560,0.435752003
50,6/15/2021 3:39,C,19.15,19.103,20.184,19.103,20.126,20.12,18.606,19.091,19.13,19.101,19.666,18.665,19.112,20.112,19.13,19.360,0.502304498
51,6/15/2021 3:59,C,18.648,19.103,19.683,18.602,20.126,20.12,18.606,19.091,19.13,18.6,19.666,18.665,18.612,19.611,19.13,19.160,0.520629531
52,6/15/2021 4:19,C,18.648,18.602,19.683,18.602,19.625,19.619,18.106,18.591,18.63,18.6,19.166,18.165,18.612,19.611,18.629,18.859,0.502095791
53,6/15/2021 4:39,C,18.648,18.602,19.683,18.602,19.625,19.619,18.106,18.591,18.63,18.099,19.166,18.165,18.111,19.611,18.629,18.792,0.557685941
54,6/15/2021 4:59,C,18.147,18.602,19.183,18.602,19.625,19.619,18.106,18.591,18.63,18.099,19.166,18.165,18.612,19.611,18.629,18.759,0.517381975
55,6/15/2021 5:19,C,18.147,18.602,19.183,18.102,19.124,19.619,18.106,18.591,18.63,18.099,19.166,18.165,18.612,19.11,18.629,18.659,0.455556802
56,6/15/2021 5:39,C,18.147,18.102,19.183,18.102,19.124,19.118,18.106,18.09,18.129,18.099,18.665,18.165,18.111,19.11,18.128,18.425,0.434343106
57,6/15/2021 5:59,C,17.645,18.102,19.183,18.102,19.124,19.118,17.605,18.09,18.129,18.099,18.665,17.664,18.111,19.11,18.128,18.325,0.529253011
58,6/15/2021 6:19,C,17.645,18.102,19.183,17.601,19.124,19.118,18.106,18.09,18.129,17.598,18.665,18.165,18.111,19.11,18.128,18.325,0.533378384
59,6/15/2021 6:39,C,18.147,18.102,18.682,18.102,19.124,19.118,18.106,18.09,18.129,17.598,18.665,18.165,17.611,19.11,18.128,18.325,0.467840901
60,6/15/2021 6:59,C,18.147,18.102,18.682,18.102,19.124,19.118,18.106,18.09,18.129,18.099,19.166,18.665,18.111,19.11,18.128,18.459,0.431168152
61,6/15/2021 7:19,C,18.648,18.602,19.183,18.602,19.625,19.619,19.107,18.591,18.63,18.6,19.666,19.166,18.111,20.112,18.629,18.993,0.521922105
62,6/15/2021 7:39,C,19.652,19.103,19.683,19.603,20.626,20.62,20.108,19.592,19.13,19.601,20.167,20.167,19.112,21.113,19.631,19.861,0.557998865
63,6/15/2021 7:59,C,21.155,20.104,21.185,20.604,22.628,24.124,21.61,20.592,20.631,20.603,22.169,21.669,20.113,23.115,20.633,21.396,1.09317483
64,6/15/2021 8:19,C,24.161,22.105,23.687,25.105,26.129,26.625,25.611,22.593,22.132,24.605,24.17,24.67,21.614,25.115,23.136,24.097,1.431965965
65,6/15/2021 8:39,C,25.662,25.105,25.188,29.104,26.629,28.125,25.611,24.594,25.133,27.605,25.17,25.67,23.615,26.115,25.137,25.898,1.338448116
66,6/15/2021 8:59,C,26.662,26.105,26.187,29.604,26.629,29.125,25.611,25.594,26.133,26.105,25.67,26.67,25.115,26.615,26.137,26.531,1.158959134
67,6/15/2021 9:19,C,27.162,26.605,26.687,31.103,27.628,30.124,26.111,26.094,26.633,26.605,26.67,27.669,25.615,27.115,26.137,27.197,1.410226941
68,6/15/2021 9:39,C,29.661,27.605,27.687,31.103,27.628,30.624,27.611,27.093,27.132,27.605,28.169,29.169,26.615,28.114,27.136,28.197,1.251014298
69,6/15/2021 9:59,C,30.66,28.605,28.186,31.103,28.628,30.624,28.61,27.593,28.632,28.605,28.668,29.668,27.615,29.113,28.136,28.963,1.012708773
70,6/15/2021 10:19,C,32.657,29.104,29.186,30.604,29.627,32.122,29.11,28.593,29.131,29.104,29.667,30.667,29.114,29.613,28.635,29.796,1.134369142
71,6/15/2021 10:39,C,32.657,30.104,30.185,31.603,30.126,32.122,30.109,29.592,29.631,29.604,30.666,31.167,29.614,30.612,29.634,30.495,0.916888656
72,6/15/2021 10:59,C,34.153,31.103,30.684,30.604,31.125,32.122,30.608,30.591,30.63,30.603,31.665,32.166,31.113,31.61,30.633,31.294,0.905657634
73,6/15/2021 11:19,C,34.652,32.102,31.682,31.603,32.123,33.62,32.106,31.591,31.13,31.602,32.164,33.164,32.112,32.109,31.132,32.193,0.888736969
74,6/15/2021 11:39,C,35.649,32.602,32.681,32.102,32.622,33.62,32.606,32.09,31.629,32.101,33.162,33.663,32.112,32.608,32.13,32.758,0.921007523
75,6/15/2021 11:59,C,35.15,33.101,32.681,32.602,33.121,34.12,33.604,32.59,32.129,33.1,33.162,34.163,33.61,33.108,33.128,33.291,0.705774439
76,6/15/2021 12:19,C,36.147,32.602,33.18,33.101,33.62,34.619,33.604,33.089,32.129,32.6,34.16,34.163,33.61,33.108,32.629,33.491,0.935709588
77,6/15/2021 12:39,C,35.649,33.101,33.18,33.601,34.119,34.12,33.604,33.089,32.628,33.599,33.661,33.164,33.61,33.607,33.627,33.624,0.640097109
78,6/15/2021 12:59,C,36.147,33.101,33.18,33.601,34.119,34.619,34.602,34.088,33.128,34.098,34.659,34.662,34.109,34.105,34.624,34.189,0.73029154
79,6/15/2021 13:19,C,35.649,33.601,33.679,34.1,34.119,34.619,34.103,34.088,33.627,34.597,34.16,34.163,34.109,34.604,34.624,34.256,0.483272292
80,6/15/2021 13:39,C,36.646,34.1,33.679,34.1,34.119,34.619,34.103,34.587,33.627,34.098,34.659,34.163,34.609,34.604,34.624,34.422,0.658328458
81,6/15/2021 13:59,C,36.646,34.1,33.679,34.6,35.117,35.118,34.602,34.088,34.126,34.597,34.659,34.163,34.109,34.604,34.624,34.589,0.649088033
82,6/15/2021 14:19,C,36.646,33.601,33.679,34.1,34.618,34.619,34.103,34.088,33.627,33.599,34.659,34.163,34.109,34.604,34.125,34.289,0.705088263
83,6/15/2021 14:39,C,36.646,34.1,33.18,34.6,33.62,33.121,34.602,34.088,33.128,35.096,33.162,34.662,34.109,34.105,35.123,34.223,0.900431508
84,6/15/2021 14:59,C,34.652,33.101,32.681,31.603,33.121,32.122,34.103,31.091,30.63,30.603,32.663,32.665,32.112,33.607,31.631,32.426,1.121122912
85,6/15/2021 15:19,C,36.147,32.102,30.185,33.601,34.119,33.121,33.604,32.09,32.129,33.599,32.663,32.166,32.611,31.61,32.629,32.825,1.253588871
86,6/15/2021 15:39,C,35.649,32.602,28.686,32.602,33.62,32.122,34.103,33.089,32.628,33.599,32.663,33.663,33.111,32.608,33.128,32.925,1.357213039
87,6/15/2021 15:59,C,34.153,32.602,28.186,33.101,30.625,31.123,33.604,32.59,32.129,33.599,32.663,32.665,34.109,32.109,33.627,32.459,1.452136185
88,6/15/2021 16:19,C,35.15,32.602,27.687,33.101,28.128,30.624,33.604,32.59,32.628,33.599,32.663,32.665,33.61,31.61,33.128,32.226,1.887286825
