Timestep,Date/Time,Unit,H2,H3,H4,H5,H9,H10,Average_RH,Stdev_RH
1,6/14/2021 11:29,%RH,57.527,,,,,,,
2,6/14/2021 11:49,%RH,54.479,,,,,,,
3,6/14/2021 12:09,%RH,46.398,71.905,87.046,74.389,77.135,70.752,71.27083333,13.50774956
4,6/14/2021 12:29,%RH,48.282,56.416,65.394,71.534,48.064,38.39,54.68,12.26320324
5,6/14/2021 12:49,%RH,48.282,58.25,53.206,62.175,65.073,26.438,52.23733333,14.01322444
6,6/14/2021 13:09,%RH,50.155,75.349,61.19,68.646,72.61,57.832,64.297,9.608457858
7,6/14/2021 13:29,%RH,58.737,74.206,72.444,75.521,72.038,79.691,72.10616667,7.105680528
8,6/14/2021 13:49,%RH,50.155,72.483,65.989,66.311,63.893,75.27,65.6835,8.751702366
9,6/14/2021 14:09,%RH,40.028,63.68,52.582,52.474,53.646,60.832,53.87366667,8.245779082
10,6/14/2021 14:29,%RH,48.282,64.276,64.2,59.782,63.301,56.014,59.30916667,6.280199309
11,6/14/2021 14:49,%RH,57.527,78.743,59.368,61.578,62.113,65.555,64.14733333,7.647559576
12,6/14/2021 15:09,%RH,51.397,61.28,65.989,62.175,63.893,51.718,59.40866667,6.291226865
13,6/14/2021 15:29,%RH,47.656,61.882,61.795,58.577,57.913,65.555,58.89633333,6.149281703
14,6/14/2021 15:49,%RH,47.656,62.483,57.534,69.226,66.832,53.568,59.54983333,8.204520764
15,6/14/2021 16:09,%RH,65.296,70.165,69.53,68.064,71.465,60.832,67.55866667,3.913096864
16,6/14/2021 16:29,%RH,64.115,80.978,74.751,73.251,73.18,70.752,72.83783333,5.489058696
17,6/14/2021 16:49,%RH,67.057,84.291,77.035,77.21,78.81,77.493,76.98266667,5.578254231
18,6/14/2021 17:09,%RH,74.548,85.928,82.096,81.655,85.387,81.866,81.91333333,4.062865672
19,6/14/2021 17:29,%RH,80.158,88.631,84.31,84.932,86.464,83.481,84.66266667,2.859291637
20,6/14/2021 17:49,%RH,77.93,91.299,78.17,87.091,84.846,86.671,84.3345,5.30739291
21,6/14/2021 18:09,%RH,79.046,88.093,83.206,84.389,85.926,84.55,84.20166667,3.028018538
22,6/14/2021 18:29,%RH,83.459,88.631,86.502,87.091,87.536,86.671,86.64833333,1.738312247
23,6/14/2021 18:49,%RH,83.459,89.167,87.046,88.162,88.603,87.197,87.27233333,2.037172321
24,6/14/2021 19:09,%RH,82.912,87.554,86.502,87.627,89.134,87.722,86.9085,2.130014061
25,6/14/2021 19:29,%RH,84.005,89.702,87.589,88.162,89.664,88.245,87.8945,2.088738064
