Timestep,Date/Time,Unit,H2_temp,H3_9min_ahead,H4_match,H5_1min_ahead,H9_1min_ahead,H10_6min_ahead,T4_2min_behind,T5_4min_behind,T6_5min_ahead,T8_9min_ahead,T9_3min_ahead,T16_8min_behind,T18_3min_ahead,T19_6min_behind,T20_1min_behind,AverageTemp,StandardDev
1,6/14/2021 11:29,C,40.078,,,,,,,,32.6,,34.068,,,,,35.582,3.96223018
2,6/14/2021 11:49,C,40.576,,,,,,,,35.595,,35.066,,,,,37.079,3.040019243
3,6/14/2021 12:09,C,41.572,,,,,,,30.601,36.593,,36.065,33.66,,31.666,,35.02616667,3.977972017
4,6/14/2021 12:29,C,43.066,46.571,35.143,35.653,42.086,50.571,36.651,37.093,38.587,45.067,37.563,37.15,39.121,36.159,40.636,40.07446667,4.53879238
5,6/14/2021 12:49,C,39.579,39.12,36.639,34.655,34.1,54.541,32.662,32.6,39.086,38.089,36.564,32.163,36.629,30.667,33.161,36.68366667,5.692447022
6,6/14/2021 13:09,C,37.087,36.133,34.146,33.158,32.102,37.636,31.165,32.1,36.094,35.095,34.068,33.161,34.135,32.166,32.163,34.02726667,2.005657479
7,6/14/2021 13:29,C,41.572,32.645,37.636,36.152,34.6,32.15,37.15,37.593,33.1,32.1,34.068,35.156,34.634,36.658,36.651,35.45766667,2.563775917
8,6/14/2021 13:49,C,43.066,34.141,38.633,37.648,36.597,36.141,35.655,37.093,36.593,34.097,36.065,38.146,37.127,36.658,35.655,36.88766667,2.126503323
9,6/14/2021 14:09,C,43.066,38.125,38.633,37.648,36.597,38.633,34.657,34.098,39.086,38.089,39.56,37.15,38.622,34.662,35.655,37.61873333,2.301645854
10,6/14/2021 14:29,C,41.572,38.622,37.636,36.651,35.099,38.134,33.66,33.099,38.089,38.588,37.064,33.161,37.127,31.167,34.159,36.2552,2.771971944
11,6/14/2021 14:49,C,42.568,36.133,38.134,36.651,35.598,38.633,36.153,37.593,38.587,35.594,38.561,38.146,38.622,37.157,36.153,37.61886667,1.787593469
12,6/14/2021 15:09,C,43.066,39.12,39.131,37.149,36.097,39.131,36.651,38.591,38.587,38.588,37.064,38.644,37.127,38.154,37.15,38.28333333,1.653504791
13,6/14/2021 15:29,C,45.057,38.622,40.625,38.645,37.595,40.127,37.15,38.092,39.585,38.588,38.561,38.146,39.121,37.656,38.146,39.04773333,1.909338385
