,ID,Plant_ID,Temp,OE_treatment,Milkweed,Lineage,OE_strain,PlotNum,ibutton,Surv_pupa,Surv_adult,PupalMass,Date_inoculated,Date_into_pint,PupalScore,Date_PupScore,Eclosion_Date,Sex,OE_tape_score,InfectionStatus,Death_date,Notes,Inoc_to_pupa,AdultLongevity,AvgOE_corner,OE_5ml,LogOE,ForewingLength.mm.,CtoN,CtoN_Jul
1,1a,1,ambient,infected,tropical,E,E6,2,T12,1,1,1.364,6/9/2021,6/26/2021,2,28-Jun,6/30/2021,F,NA,1,7/7/2021,,17,7,50.875,2543750,6.405474597,51.9,,
2,1b,1,ambient,infected,tropical,E,E6,2,T12,1,1,1.442,6/9/2021,6/26/2021,3,28-Jun,6/30/2021,M,NA,1,7/8/2021,,17,8,25.9,1295000,6.112270104,53,,
3,2a,2,ambient,control,tropical,B,C,2,T12,1,1,1.278,6/9/2021,6/25/2021,,,6/28/2021,F,0,0,7/14/2021,,16,16,NA,NA,NA,50.5,10.84,9.08
4,2b,2,ambient,control,tropical,B,C,2,T12,1,1,1.258,6/9/2021,6/25/2021,,,6/28/2021,M,0,0,7/21/2021,,16,23,NA,NA,NA,49.6,10.84,9.08
5,3a,3,ambient,infected,swamp,E,WV1,2,T12,1,1,1.448,6/9/2021,6/24/2021,3,29-Jun,6/30/2021,M,NA,1,7/9/2021,,15,9,8.45,422500,5.625827741,54.4,,
6,3b,3,ambient,infected,swamp,E,WV1,2,T12,1,1,1.415,6/9/2021,6/24/2021,2,27-Jun,6/29/2021,M,NA,0,7/20/2021,,15,21,0,0,0,48.8,,
7,4a,4,ambient,control,swamp,B,C,2,T12,1,1,1.3,6/9/2021,6/24/2021,,,6/28/2021,F,0,0,7/16/2021,,15,18,NA,NA,NA,52.1,,
8,4b,4,ambient,control,swamp,B,C,2,T12,0,0,NA,6/9/2021,NA,,,NA,NA,NA,NA,NA,J bitten by spider and died,NA,NA,NA,NA,NA,50,,
9,5a,5,elevated,infected,tropical,A,E6,3,T6,1,1,1.245,6/9/2021,6/26/2021,3,28-Jun,6/30/2021,F,NA,1,7/4/2021,,17,4,31.5,1575000,6.197280834,51.6,9.19,6.72
10,5b,5,elevated,infected,tropical,A,E6,3,T6,1,1,1.481,6/9/2021,6/26/2021,3,28-Jun,6/30/2021,M,NA,1,7/9/2021,,17,9,9.8,490000,5.690196966,54.6,9.19,6.72
11,6a,6,elevated,control,tropical,A,C,3,T6,1,1,1.364,6/9/2021,6/28/2021,,,7/1/2021,M,0,0,7/19/2021,,19,18,NA,NA,NA,50.4,,
12,6b,6,elevated,control,tropical,A,C,3,T6,0,0,NA,6/9/2021,NA,,,NA,NA,NA,NA,NA,1 3rd instar dead 6/13,NA,NA,NA,NA,NA,NA,,
