Plant_ID,total card conc,sum of polarity,plot num,Temp,OE_treat,Milkweed_sp,Lineage,Strain,ibutton_num
1,0.534157975,7.01070581,2,ambient,infected,tropical,E,E6,T12
5,0.468338274,6.940184667,3,elevated,infected,tropical,A,E6,T6
10,0.132141128,6.661,4,ambient,control,tropical,A,C,
13,0,,5,elevated,infected,tropical,E,WV1,T9
14,0,,5,elevated,control,tropical,A,C,
17,0,,6,ambient,infected,tropical,E,E6,H7
21,0,,8,ambient,infected,tropical,C,E6,H1
22,0,,8,ambient,control,tropical,B,C,
25,0,,9,elevated,infected,tropical,E,WV1,T7
26,0,,9,elevated,control,tropical,B,C,
29,0,,10,ambient,infected,tropical,B,WV1,T2
37,0,,12,ambient,infected,tropical,C,E6,H11
38,0.371489428,6.95871181,12,ambient,control,tropical,C,C,
41,0.595901573,7.03363239,13,elevated,infected,tropical,C,WV1,H3
42,0,,13,elevated,control,tropical,A,C,
49,0.508786211,7.027380029,15,elevated,infected,tropical,E,E6,H10
54,0.260839777,6.972587737,16,ambient,control,tropical,A,C,
58,1.49547848,5.686961776,17,elevated,control,tropical,A,C,
61,0,,18,ambient,infected,tropical,A,WV1,T13
65,0.251850378,6.634,19,elevated,infected,tropical,E,E6,H9
66,0.6601087,6.718739106,19,elevated,control,tropical,C,C,
70,0.939186507,6.467825125,20,ambient,control,tropical,C,C,
73,1.157770663,6.568021963,21,elevated,infected,tropical,E,WV1,T20
74,0.292346468,6.01941244,21,elevated,control,tropical,B,C,
77,0.117259531,6.66,22,ambient,infected,tropical,E,WV1,T3
78,0,,22,ambient,control,tropical,E,C,
81,0.255138375,6.186320109,23,elevated,infected,tropical,B,E6,H5
82,0.27704576,6.64,23,elevated,control,tropical,A,C,
86,0.519900662,6.949132228,24,elevated,control,tropical,E,C,
89,0.363599957,6.984135526,25,ambient,infected,tropical,E,WV1,T14
97,1.236373516,4.7879903,27,ambient,infected,tropical,C,E6,T17
98,0.132370746,6.649,27,ambient,control,tropical,C,C,
102,0,,28,elevated,control,tropical,E,C,
105,0.388807383,5.77045805,29,ambient,infected,tropical,A,WV1,T11
109,0,,30,elevated,infected,tropical,B,WV1,T19
110,1.935383285,5.707278263,30,elevated,control,tropical,C,C,
114,0.595030335,6.705385597,31,ambient,control,tropical,B,C,
117,0.345293815,7.040625942,32,elevated,infected,tropical,B,E6,T16
