Temp_treatment,ibutton_ID,lag,relative,variable,n,mean,sd,se,PlotNum
Elevated,H10,6min,ahead,Temp,1596,24.332,6.141,0.153717267,8
Ambient,H11,3min,behind,Temp,1597,23.994,4.803,0.120187729,15
Ambient,H12,2min,behind,Temp,1597,24.194,4.972,0.124416695,12
Ambient,H1,temp,NA,Temp,1599,24.279,6.053,0.151372311,14
Elevated,H2,temp,NA,Temp,1599,26.914,7.949,0.198787131,9
Elevated,H3,9min,ahead,Temp,1596,24.806,5.679,0.142152802,13
Elevated,H4,match,NA,Temp,1596,25.456,6.746,0.168861209,24
Elevated,H5,1min,ahead,Temp,1596,24.836,6.186,0.154843676,23
Ambient,H6,10min,ahead,Temp,1596,23.574,5.14,0.128660927,20
Ambient,H7,11min,ahead,Temp,1599,23.57,4.438,0.110984688,6
Ambient,H8,3min,ahead,Temp,1597,23.547,5.187,0.129796742,31
Elevated,H9,1min,ahead,Temp,1596,24.083,5.696,0.142578334,19
Ambient,T11,5min,ahead,Temp,1597,23.613,5.215,0.130497399,16
Ambient,T12,2min,behind,Temp,1600,23.88,5.015,0.125375,29
Ambient,T13,8min,behind,Temp,1597,23.721,5.244,0.131223079,2
Ambient,T14,9min,ahead,Temp,1597,23.734,5.404,0.135226835,18
Ambient,T15,6min,behind,Temp,1600,24.027,4.864,0.1216,25
Elevated,T16,8min,behind,Temp,1597,25.121,5.823,0.145711669,4
Ambient,T17,7min,ahead,Temp,1597,23.944,5.392,0.134926553,32
Elevated,T18,3min,ahead,Temp,1596,25.123,6.128,0.15339186,27
Elevated,T19,6min,behind,Temp,1597,24.504,5.943,0.148714485,17
Ambient,T1,5min,behind,Temp,1596,23.732,5.332,0.133466938,30
Elevated,T20,1min,behind,Temp,1596,24.857,5.671,0.141952552,10
Ambient,T2,8min,ahead,Temp,1599,23.455,4.973,0.12436387,21
Ambient,T3,8min,ahead,Temp,1597,23.355,5.094,0.127469559,22
Elevated,T4,2min,behind,Temp,1596,24.479,5.84,0.146182843,26
Elevated,T5,4min,behind,Temp,1597,24.486,6.284,0.157247489,28
Elevated,T6,5min,ahead,Temp,1599,25.213,5.965,0.149171623,3
Elevated,T8,9min,ahead,Temp,1596,24.324,5.726,0.143329274,11
Elevated,T9,3min,ahead,Temp,1599,24.574,5.48,0.137042833,5
